,Code,Description
305,10328,"San Juan Aposento, Peru: San Juan Aposento Airport"
306,10329,"Naples, FL: Naples Municipal"
307,10330,"Aberdeen, MD: Phillips AAF"
308,10331,"Apataki, French Polynesia: Apataki Airport"
309,10332,"Nampula, Mozambique: Nampula Airport"
310,10333,"Alpena, MI: Alpena County Regional"
311,10334,"Apartado, Colombia: Apartado Airport"
312,10335,"April River, Papua New Guinea: April River Airport"
313,10336,"Jasper, TN: Marion County Brown Field"
314,10337,"Apple Valley, CA: Apple Valley Airport"
315,10338,"Apia, Samoa: Faleolo International"
316,10339,"Qaisumah, Saudi Arabia: Hafr Al Batin"
317,10340,"Aqaba, Jordan: King Hussein International"
318,10342,"Arequipa, Peru: Rodriguez Ballon International"
319,10343,"Saqani, Fiji: Saqani Airport"
320,10344,"Girdwood, AK: Girdwood Airport"
321,10345,"Russellville, AR: Russellville Regional"
322,10346,"Conway, AR: Dennis F Cantrell Field"
323,10347,"New Iberia, LA: Acadiana Regional"
324,10348,"Ann Arbor, MI: Ann Arbor Municipal"
325,10349,"Arctic Village, AK: Arctic Village Airport"
326,10350,"Alor, Indonesia: Arcadia Municipal"
327,10351,"Arecibo, PR: Antonio/Nery/Juarbe Pol"
328,10352,"Walnut Ridge, AR: Walnut Ridge Regional"
329,10353,"Arkhangelsk, Russia: Talagi"
330,10354,"Arica, Chile: Chacalluta"
331,10355,"Arusha, Tanzania: Arusha Airport"
332,10356,"Armidale, Australia: Armidale Airport"
333,10357,"Stockholm, Sweden: Arlanda"
334,10358,"Aragip, Papua New Guinea: Aragip Airport"
335,10359,"Arauquita, Colombia: Arauquita Airport"
336,10360,"Aragarcas, Brazil: Aragarcas Airport"
337,10361,"Watertown, NY: Watertown International"
338,10362,"Aracatuba, Brazil: Aracatuba Airport"
339,10363,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field"
340,10364,"Arad, Romania: Arad International"
341,10365,"Asbury Park, NJ: Asbury Park/Monmouth County"
342,10366,"Ararat, Australia: Ararat Airport"
343,10367,"N'zeto, Angola: N'zeto Airport"
344,10368,"Assab, Eritrea: Assab International"
